system-ip,hostname,interface,max_rx_kbps,sum_rx_octets,max_tx_kbps,sum_tx_octets,sample,start_datetime,end_datetime
10.71.61.251,BR0869-TescoLotus_BanPong_1,ge0/1,0,0,0,0,143,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
10.71.61.251,BR0869-TescoLotus_BanPong_1,ge0/2,2,19599110.0,2,358190,142,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
10.100.206.251,BR1259-Central_Phuket_Floresta_1,ge0/1,0,0,0,0,142,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
10.100.206.251,BR1259-Central_Phuket_Floresta_1,ge0/2,3,19558232,3,358050,142,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
10.30.20.101,CWN-vEdge5000-01,ge0/1,0,0,0,0,141,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
10.30.20.101,CWN-vEdge5000-01,ge0/2,0,0,0,0,141,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
10.30.10.101,HQ-vEdge5000-01,ge0/1,0,0,0,0,140,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
10.30.10.101,HQ-vEdge5000-01,ge0/2,0,0,0,0,140,2021-08-09T10:00:00 UTC,2021-08-10T10:00:00 UTC
