system-ip,hostname,interface,max_rx_kbps,sum_rx_octets,max_tx_kbps,sum_tx_octets,sample,start_datetime,end_datetime
10.100.206.251,BR1259-Central_Phuket_Floresta_1,ge0/1,0,0,0,0,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
10.100.206.251,BR1259-Central_Phuket_Floresta_1,ge0/2,3,30785433,3,777010,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
10.30.10.101,HQ-vEdge5000-01,ge0/1,0,0,0,0,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
10.30.10.101,HQ-vEdge5000-01,ge0/2,0,0,0,0,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
10.30.20.101,CWN-vEdge5000-01,ge0/1,0,0,0,0,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
10.30.20.101,CWN-vEdge5000-01,ge0/2,0,0,0,0,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
10.71.61.251,BR0869-TescoLotus_BanPong_1,ge0/1,0,0,0,0,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
10.71.61.251,BR0869-TescoLotus_BanPong_1,ge0/2,4,30772342,4,822300,144,2021-08-15 00:00:00+07:00,2021-08-16 00:00:00+07:00
