system-ip,hostname,interface,max_rx_kbps,sum_rx_octets,max_tx_kbps,sum_tx_octets,sample,start_datetime,end_datetime
10.100.206.251,BR1259-Central_Phuket_Floresta_1,ge0/1,0,0,0,0,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
10.100.206.251,BR1259-Central_Phuket_Floresta_1,ge0/2,3,19570233,3,366420,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
10.30.10.101,HQ-vEdge5000-01,ge0/1,0,0,0,0,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
10.30.10.101,HQ-vEdge5000-01,ge0/2,0,0,0,0,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
10.30.20.101,CWN-vEdge5000-01,ge0/1,0,0,0,0,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
10.30.20.101,CWN-vEdge5000-01,ge0/2,0,0,0,0,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
10.71.61.251,BR0869-TescoLotus_BanPong_1,ge0/1,0,0,0,0,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
10.71.61.251,BR0869-TescoLotus_BanPong_1,ge0/2,3,19571810.0,3,366336,144,2021-08-11 00:00:00+07:00,2021-08-12 00:00:00+07:00
